gene	name
ECDH10B_0592	ybeD
ECDH10B_0593	dacA
ECDH10B_0594	rlpA
ECDH10B_0595	mrdB
ECDH10B_0596	mrdA
ECDH10B_0597	ybeA
ECDH10B_0598	ybeB
ECDH10B_0599	cobC
ECDH10B_0600	nadD
ECDH10B_0601	holA
ECDH10B_0602	rlpB
ECDH10B_0603	leuS
ECDH10B_0604	ybeL
ECDH10B_0605	ybeQ
ECDH10B_0606	ybeR
ECDH10B_0607	djlB
ECDH10B_0608	ybeT
ECDH10B_0609	ybeU
ECDH10B_0610	djlC
ECDH10B_0611	hscC
ECDH10B_0612	rihA
ECDH10B_0613	gltL
ECDH10B_0614	gltK
ECDH10B_0615	gltJ
EBG00001089715	sroC
ECDH10B_0616	gltI
ECDH10B_0617	insH-3
ECDH10B_0619	essD
ECDH10B_0620	ybcS
ECDH10B_0621	rzpD
ECDH10B_0622	rzoD
ECDH10B_0623	borD
ECDH10B_0624	ybcV
ECDH10B_0625	ybcW
ECDH10B_0626	nohB
ECDH10B_0630	appY
ECDH10B_0631	ompT
ECDH10B_0632	envY
ECDH10B_0633	ybcH
ECDH10B_0634	nfrA
ECDH10B_0635	nfrB
ECDH10B_0636	cusS
ECDH10B_0637	cusR
ECDH10B_0638	cusC
ECDH10B_0639	cusF
ECDH10B_0640	cusB
ECDH10B_0641	cusA
ECDH10B_0642	pheP
ECDH10B_0643	ybdG
ECDH10B_0644	nfnB
ECDH10B_0645	ybdF
ECDH10B_0646	ybdJ
ECDH10B_0647	ybdK
EBG00001089638	sok
ECDH10B_0648	hokE
ECDH10B_0649	insL-2
ECDH10B_0650	entD
ECDH10B_0651	fepA
ECDH10B_0652	fes
ECDH10B_0653	ybdZ
ECDH10B_0654	entF
ECDH10B_0655	fepE
ECDH10B_0656	fepC
ECDH10B_0657	fepG
ECDH10B_0658	fepD
ECDH10B_0659	entS
ECDH10B_0660	fepB
ECDH10B_0661	entC
ECDH10B_0662	entE
ECDH10B_0663	entB
ECDH10B_0664	entA
ECDH10B_0665	ybdB
ECDH10B_0666	cstA
ECDH10B_0667	ybdD
ECDH10B_0668	ybdH
ECDH10B_0669	ybdL
ECDH10B_0670	ybdM
ECDH10B_0671	ybdN
ECDH10B_0672	ybdO
ECDH10B_0673	dsbG
EBG00001089538	STnc70
ECDH10B_0674	ahpC
ECDH10B_0675	ahpF
ECDH10B_0676	uspG
ECDH10B_0677	ybdR
ECDH10B_0678	rnk
ECDH10B_0679	rna
ECDH10B_0680	citT
ECDH10B_0681	citG
ECDH10B_0682	citX
ECDH10B_0683	citF
ECDH10B_0684	citE
ECDH10B_0685	citD
ECDH10B_0686	citC
ECDH10B_0687	citA
ECDH10B_0688	citB
ECDH10B_0689	dcuC
ECDH10B_0690	crcA
ECDH10B_0691	cspE
ECDH10B_0692	crcB
ECDH10B_0696	tatE
ECDH10B_0697	lipA
ECDH10B_0698	ybeF
ECDH10B_0699	lipB
ECDH10B_0700	ybeD
ECDH10B_0701	dacA
ECDH10B_0702	rlpA
ECDH10B_0703	mrdB
ECDH10B_0704	mrdA
ECDH10B_0705	ybeA
ECDH10B_0706	ybeB
ECDH10B_0707	cobC
ECDH10B_0708	nadD
ECDH10B_0709	holA
ECDH10B_0710	rlpB
ECDH10B_0711	leuS
